+++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++
+   Table with differences between experimental and calculated energies for fited levels
+
+   J. Zaharova, O. Docenko, M. Tamanis, R. Ferber
+   Laser Center, Department of Physics, University of Latvia, 
+   Rainis Boulevard 19, LV 1586 Riga, Latvia
+
+   A. Pashov
+   Department of Physics, Sofia University, James Bourchier Boulevard 5, 1164
+   Sofia, Bulgaria
+
+   H. Knoeckel and E.Tiemann
+   Institut fuer Quantenoptik, Universitaet Hannover, Welfengarten 1,
+   30167 Hannover, Germany
+
+  October 2004, October 2005, Hannover
+  
+
++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++


Notations: 

v',J':		  vibrational and rotational quantum numbers of the excited B1P state level 

Ecalc, Diff 	experimental energy, calculated energy and 
			differences between experimental and calculated 
			energies of the excited B1P state level

par:	  	for f levels -  0, for e levels - 1


iso:            An integer i. In the final fit only transitions with  
                i=5,8,10 were used.

		  


v'	J'	Ecalc		Diff		par	iso
3	116	16099.1369	-0.01064	0	10
3	117	16108.11906	0.04709		0	9
3	118	16117.16185	-0.00425	0	10
3	119	16126.26481	-0.0036		0	10
3	120	16135.42745	-0.00362	0	10
3	123	16163.26844	0.0057		0	10
3	5	15553.9392	0.0254		1	10
3	29	15589.13525	-0.00931	1	10
3	30	15591.64259	-0.01014	1	10
3	31	15594.23256	-0.00884	1	10
3	32	15596.90508	-0.0035		1	10
3	33	15599.66006	-0.01492	1	10
3	34	15602.49739	-0.01336	1	10
3	35	15605.41697	-0.01595	1	10
3	36	15608.41869	-0.01329	1	10
3	37	15611.50245	-0.01925	1	10
3	38	15614.66814	-0.01942	1	10
3	39	15617.91564	-0.02161	1	10
3	40	15621.24483	-0.02596	1	1
3	41	15624.65559	-0.03037	1	1
3	42	15628.1478	-0.03117	1	1
3	43	15631.72133	-0.0352		1	1
3	44	15635.37605	-0.03057	1	1
3	45	15639.11182	-0.03416	1	1
3	46	15642.92852	-0.03642	1	9
3	47	15646.82599	-0.03771	1	1
3	48	15650.80409	-0.04217	1	1
3	49	15654.86269	-0.05015	1	1
3	50	15659.00162	-0.04318	1	9
3	51	15663.22073	-0.05072	1	9
3	52	15667.51987	-0.05701	1	9
3	53	15671.89888	-0.06395	1	9
3	54	15676.35759	-0.07499	1	9
3	55	15680.89584	-0.0766		1	9
3	56	15685.51345	-0.09586	1	9
3	72	15770.03648	0.01133		1	10
3	73	15775.97385	0.01874		1	10
3	74	15781.98691	0.00795		1	10
3	75	15788.07543	0.00922		1	10
3	76	15794.23916	0.01074		1	10
3	77	15800.47786	0.00921		1	10
3	78	15806.79127	0.00677		1	10
3	79	15813.17914	0.00363		1	10
3	80	15819.64121	0.00355		1	10
3	81	15826.17721	0.01004		1	10
3	82	15832.78688	0.00642		1	10
3	110	16046.53684	0.00654		1	10
3	111	16055.1454	-0.00181	1	10
3	112	16063.81731	-0.00535	1	10
3	113	16072.55214	0.00293		1	10
3	114	16081.34945	-0.00295	1	10
3	115	16090.20879	-0.00458	1	10
3	116	16099.12971	-0.00836	1	10
3	117	16108.11174	-0.01302	1	10
3	118	16117.15441	-0.01815	1	10
4	15	15612.01374	0.0138		0	10
4	19	15617.79388	0.02904		0	9
4	24	15626.86716	0.01065		0	1
4	25	15628.92761	0.00761		0	10
4	26	15631.06979	-6.00E-05	0	10
4	27	15633.29366	0.00595		0	10
4	28	15635.59913	-0.0093		0	10
4	29	15637.98609	-0.01891	0	1
4	30	15640.45451	0.00904		0	10
4	32	15645.63521	-0.04209	0	9
4	33	15648.34733	-0.0515		0	9
4	34	15651.1405	-0.05526	0	9
4	35	15654.01461	-0.06581	0	9
4	36	15656.96954	-0.07321	0	9
4	43	15679.9078	-0.06375	0	9
4	44	15683.50517	-0.06976	0	9
4	45	15687.18227	-0.08733	0	9
4	46	15690.93896	-0.08849	0	9
4	47	15694.77508	-0.09798	0	9
4	48	15698.69051	-0.12484	0	9
4	49	15702.68508	-0.13452	0	9
4	50	15706.75864	-0.15101	0	9
4	57	15737.47178	0.64706		0	9
4	58	15742.17135	0.40327		0	9
4	59	15746.94837	0.27646		0	1
4	60	15751.80265	0.2041		0	1
4	61	15756.73401	0.15022		0	1
4	62	15761.74224	0.12134		0	1
4	63	15766.82715	0.099		0	9
4	64	15771.98853	0.07635		0	9
4	65	15777.22617	0.06686		0	9
4	66	15782.53986	0.052		0	9
4	67	15787.92939	0.04108		0	9
4	68	15793.39453	0.02876		0	10
4	69	15798.93507	0.03022		0	9
4	70	15804.55078	0.02303		0	10
4	71	15810.24142	0.01419		0	10
4	72	15816.00676	0.00924		0	10
4	73	15821.84655	0.00547		0	10
4	74	15827.76057	0.00189		0	10
4	75	15833.74856	-0.00617	0	10
4	76	15839.81026	-0.00969	0	10
4	77	15845.94542	-0.01736	0	10
4	78	15852.15379	-0.02581	0	10
4	79	15858.4351	-0.03891	0	9
4	80	15864.78907	-0.1006		0	1
4	81	15871.21544	0.03899		0	1
4	82	15877.71391	-2.90E-04	0	10
4	83	15884.28423	-0.01366	0	10
4	84	15890.9261	-0.01638	0	10
4	85	15897.63922	-0.01574	0	10
4	101	16014.48434	-0.00413	0	10
4	102	16022.35963	-0.00503	0	10
4	103	16030.3001	-0.01594	0	10
4	104	16038.30535	-0.01392	0	10
4	105	16046.37499	-0.00676	0	10
4	106	16054.50861	-0.05327	0	9
4	107	16062.70583	0.02246		0	10
4	108	16070.9662	0.00483		0	10
4	109	16079.28932	-0.00171	0	10
4	110	16087.67476	-0.00566	0	10
4	111	16096.12209	-0.00528	0	10
4	112	16104.63086	-0.00653	0	10
4	113	16113.20063	-0.00761	0	10
4	23	15624.88828	0.00326		1	10
4	24	15626.86685	0.0082		1	1
4	25	15628.92726	0.0072		1	10
4	26	15631.06942	0.00709		1	10
4	27	15633.29326	1.50E-04	1	10
4	28	15635.5987	-0.00873	1	10
4	29	15637.98563	0.01592		1	1
4	31	15643.00372	-0.01129	1	10
4	42	15676.38933	-0.06919	1	9
4	43	15679.9068	-0.07984	1	9
4	44	15683.50412	-0.08198	1	9
4	45	15687.18117	-0.08877	1	9
4	46	15690.93781	-0.10052	1	9
4	47	15694.77389	-0.10585	1	9
4	48	15698.68926	-0.12767	1	9
4	49	15702.68378	-0.13734	1	9
4	50	15706.75729	-0.15978	1	9
4	55	15728.30412	-0.4449		1	9
4	59	15746.94649	0.342		1	1
4	60	15751.80071	0.24807		1	1
4	61	15756.732	0.18734		1	1
4	62	15761.74017	0.14666		1	1
4	63	15766.82501	0.11055		1	9
4	64	15771.98632	0.09407		1	9
4	65	15777.22389	0.07346		1	9
4	66	15782.53752	0.06192		1	9
4	67	15787.92697	0.04704		1	9
4	68	15793.39205	0.04199		1	9
4	69	15798.93251	0.03228		1	9
4	70	15804.54814	0.02978		1	10
4	71	15810.23871	0.02115		1	10
4	72	15816.00397	0.01845		1	10
4	73	15821.84369	0.01421		1	10
4	74	15827.75763	0.0107		1	10
4	75	15833.74553	0.00354		1	10
4	76	15839.80716	9.00E-04	1	10
4	77	15845.94224	-0.0076		1	10
4	78	15852.15052	-0.0158		1	10
4	79	15858.43174	-0.02316	1	10
4	80	15864.78564	-0.02352	1	1
4	81	15871.21192	-0.02553	1	1
4	82	15877.7103	-0.02773	1	10
4	83	15884.28054	-0.03413	1	9
