Table IV
The resulting deperturbed (diabatic) potential energy curves of the singlet A1Sigma+ 
state U_A(r) and triplet b3Pi(Omega=0,1,2) sub-states U_b0(r), U_b1(r), U_b2(r) 
as well as spin-orbit splitting A_01(r), A_12(r) and V_Ab0(r) functions.
Energies - in cm-1, internuclear distance in Angstroms.
=======================================================================================
     r       U_A       U_b0       U_b1        U_b2        A_01        A_12      V_Ab0
---------------------------------------------------------------------------------------
  Angstroms                                         cm-1
=======================================================================================
  3.099053  16117.054  11980.541  12108.998  12230.762    128.457    121.764    142.566
  3.101945  16086.804  11963.133  12091.424  12213.078    128.291    121.654    142.433
  3.104829  16056.769  11945.889  12074.015  12195.559    128.126    121.544    142.300
  3.107706  16026.946  11928.807  12056.768  12178.202    127.961    121.434    142.166
  3.110574  15997.333  11911.885  12039.681  12161.006    127.797    121.325    142.033
  3.113434  15967.929  11895.120  12022.753  12143.970    127.633    121.216    141.900
  3.116286  15938.729  11878.512  12005.982  12127.090    127.470    121.108    141.767
  3.119131  15909.734  11862.059  11989.366  12110.366    127.307    121.000    141.634
  3.121967  15880.939  11845.758  11972.903  12093.796    127.145    120.893    141.501
  3.124797  15852.344  11829.607  11956.591  12077.377    126.984    120.786    141.368
  3.127618  15823.946  11813.606  11940.429  12061.108    126.823    120.679    141.235
  3.130432  15795.743  11797.753  11924.415  12044.988    126.663    120.573    141.102
  3.133239  15767.732  11782.045  11908.548  12029.015    126.503    120.467    140.970
  3.136038  15739.912  11766.481  11892.825  12013.186    126.344    120.362    140.837
  3.138830  15712.282  11751.060  11877.245  11997.501    126.185    120.257    140.704
  3.141614  15684.838  11735.780  11861.806  11981.958    126.027    120.152    140.572
  3.144391  15657.579  11720.639  11846.508  11966.556    125.869    120.048    140.439
  3.147161  15630.503  11705.636  11831.348  11951.292    125.712    119.944    140.307
  3.149924  15603.608  11690.769  11816.325  11936.165    125.555    119.841    140.174
  3.152680  15576.893  11676.038  11801.437  11921.175    125.399    119.738    140.042
  3.155429  15550.356  11661.440  11786.683  11906.319    125.244    119.635    139.910
  3.158171  15523.994  11646.973  11772.062  11891.595    125.089    119.533    139.778
  3.160906  15497.806  11632.638  11757.572  11877.003    124.934    119.431    139.645
  3.163634  15471.790  11618.431  11743.212  11862.541    124.780    119.330    139.513
  3.166355  15445.945  11604.353  11728.980  11848.208    124.627    119.229    139.382
  3.169070  15420.268  11590.401  11714.875  11834.003    124.474    119.128    139.250
  3.171778  15394.759  11576.574  11700.895  11819.923    124.321    119.028    139.118
  3.174479  15369.416  11562.871  11687.040  11805.969    124.169    118.928    138.986
  3.177174  15344.236  11549.291  11673.309  11792.137    124.018    118.829    138.855
  3.179862  15319.219  11535.832  11659.699  11778.428    123.867    118.730    138.723
  3.182543  15294.362  11522.493  11646.209  11764.840    123.716    118.631    138.592
  3.185218  15269.664  11509.273  11632.839  11751.372    123.566    118.532    138.461
  3.187887  15245.125  11496.171  11619.587  11738.022    123.417    118.434    138.329
  3.190549  15220.741  11483.185  11606.452  11724.789    123.268    118.337    138.198
  3.193205  15196.512  11470.314  11593.433  11711.673    123.119    118.240    138.067
